n,GFLOP/s,GB/s,kind
8388608,210.05128380622935,1260.3077028373762,saxpy_kernel!
9437184,211.8620600875263,1271.1723605251575,saxpy_kernel!
10485760,213.3333314718928,1279.9999888313569,saxpy_kernel!
11534336,214.552384978614,1287.314309871684,saxpy_kernel!
12582912,210.05127104978442,1260.3076262987065,saxpy_kernel!
13631488,214.7096842607131,1288.2581055642786,saxpy_kernel!
14680064,207.76810944890846,1246.608656693451,saxpy_kernel!
15728640,210.41095173476455,1262.4657104085875,saxpy_kernel!
16777216,214.16993183932615,1285.0195910359569,saxpy_kernel!
17825792,213.59507900707717,1281.570474042463,saxpy_kernel!
18874368,213.0867182029565,1278.5203092177387,saxpy_kernel!
19922944,213.80218845913598,1282.8131307548158,saxpy_kernel!
20971520,213.3333314718928,1279.9999888313569,saxpy_kernel!
22020096,213.9701428956527,1283.8208573739164,saxpy_kernel!
23068672,215.57894052497952,1293.4736431498773,saxpy_kernel!
24117248,217.06913134050114,1302.4147880430069,saxpy_kernel!
25165824,216.52863338972026,1299.1718003383214,saxpy_kernel!
26214400,216.9491476556183,1301.6948859337099,saxpy_kernel!
27262976,218.22950285028114,1309.3770171016868,saxpy_kernel!
28311552,218.5612682220855,1311.367609332513,saxpy_kernel!
29360128,218.8702405769805,1313.2214434618832,saxpy_kernel!
30408704,219.1586678189076,1314.9520069134458,saxpy_kernel!
31457280,219.42857554630976,1316.5714532778586,saxpy_kernel!
32505856,221.2125389425209,1327.2752336551257,saxpy_kernel!
33554432,219.91946062212205,1319.5167637327322,saxpy_kernel!
34603008,220.14330680840817,1320.8598408504488,saxpy_kernel!
35651584,221.0539524570295,1326.3237147421771,saxpy_kernel!
36700160,219.87728721316768,1319.263723279006,saxpy_kernel!
37748736,220.0835942219091,1320.5015653314545,saxpy_kernel!
38797312,219.64056832239459,1317.8434099343674,saxpy_kernel!
39845888,220.46457765030107,1322.7874659018062,saxpy_kernel!
40894464,221.2520657880808,1327.5123947284847,saxpy_kernel!
41943040,220.21504395525028,1321.290263731502,saxpy_kernel!
42991616,219.81152058044614,1318.8691234826767,saxpy_kernel!
44040192,220.55384799654084,1323.323087979245,saxpy_kernel!
45088768,221.82367312363755,1330.9420387418252,saxpy_kernel!
46137344,221.9507399738275,1331.704439842965,saxpy_kernel!
47185920,221.5384583441087,1329.230750064652,saxpy_kernel!
48234496,221.14553267416886,1326.8731960450134,saxpy_kernel!
49283072,220.26544053437843,1321.5926432062704,saxpy_kernel!
50331648,222.4072464442988,1334.4434786657928,saxpy_kernel!
51380224,220.55385029270107,1323.3231017562064,saxpy_kernel!
52428800,222.12582074756477,1332.7549244853888,saxpy_kernel!
53477376,222.22978564493997,1333.3787138696398,saxpy_kernel!
54525952,220.03305902697295,1320.1983541618379,saxpy_kernel!
55574528,221.06719308435498,1326.4031585061298,saxpy_kernel!
56623104,221.6272503727065,1329.763502236239,saxpy_kernel!
57671680,222.1696084209671,1333.0176505258028,saxpy_kernel!
58720256,221.4054144194841,1328.4324865169046,saxpy_kernel!
59768832,221.09091459996833,1326.54548759981,saxpy_kernel!
60817408,220.7881062329454,1324.7286373976726,saxpy_kernel!
61865984,221.30401963314074,1327.8241177988443,saxpy_kernel!
62914560,221.00720420210274,1326.0432252126163,saxpy_kernel!
63963136,220.72085473189864,1324.3251283913917,saxpy_kernel!
65011712,221.98602319408013,1331.916139164481,saxpy_kernel!
66060288,222.4551703592083,1334.7310221552495,saxpy_kernel!
67108864,221.78003282238,1330.68019693428,saxpy_kernel!
68157440,221.12956807997074,1326.7774084798245,saxpy_kernel!
69206016,222.31579186404457,1333.8947511842673,saxpy_kernel!
70254592,222.032361958157,1332.194171748942,saxpy_kernel!
71303168,221.75795848941965,1330.5477509365178,saxpy_kernel!
72351744,221.14555726467972,1326.8733435880781,saxpy_kernel!
73400320,222.60869197006204,1335.6521518203722,saxpy_kernel!
74448896,223.36098534412855,1340.1659120647714,saxpy_kernel!
75497472,221.73834054877798,1330.4300432926677,saxpy_kernel!
76546048,221.81601240100431,1330.896074406026,saxpy_kernel!
77594624,222.2170066175352,1333.3020397052112,saxpy_kernel!
78643200,222.2865331382969,1333.7191988297814,saxpy_kernel!
79691776,222.67238994302986,1336.034339658179,saxpy_kernel!
80740352,223.04949658282027,1338.2969794969217,saxpy_kernel!
81788928,222.48467226596938,1334.9080335958163,saxpy_kernel!
82837504,222.85399568116492,1337.1239740869896,saxpy_kernel!
83886080,222.00542519741862,1332.032551184512,saxpy_kernel!
84934656,222.07228873717906,1332.4337324230742,saxpy_kernel!
85983232,223.02257790077672,1338.1354674046602,saxpy_kernel!
87031808,222.78374756322094,1336.7024853793257,saxpy_kernel!
88080384,222.55109654063853,1335.3065792438313,saxpy_kernel!
89128960,223.1794890441187,1339.076934264712,saxpy_kernel!
90177536,223.22940091654797,1339.3764054992878,saxpy_kernel!
91226112,222.99875873957757,1337.9925524374653,saxpy_kernel!
92274688,223.6029769073844,1341.6178614443065,saxpy_kernel!
93323264,222.82640872224007,1336.9584523334404,saxpy_kernel!
94371840,223.14769473149315,1338.8861683889586,saxpy_kernel!
95420416,222.66188344761247,1335.9713006856748,saxpy_kernel!
96468992,222.9775179058242,1337.8651074349452,saxpy_kernel!
97517568,223.02575937140296,1338.1545562284175,saxpy_kernel!
98566144,223.85117755992295,1343.1070653595375,saxpy_kernel!
99614720,223.3754311910463,1340.2525871462778,saxpy_kernel!
100663296,223.67234819448373,1342.0340891669023,saxpy_kernel!
101711872,223.4600588255514,1340.7603529533083,saxpy_kernel!
102760448,223.00445064140342,1338.0267038484205,saxpy_kernel!
103809024,224.28318843778644,1345.6991306267187,saxpy_kernel!
104857600,223.33696287519814,1340.021777251189,saxpy_kernel!
105906176,222.89654693482964,1337.3792816089776,saxpy_kernel!
106954752,223.65738438811496,1341.94430632869,saxpy_kernel!
108003328,224.17003279903273,1345.0201967941964,saxpy_kernel!
109051904,223.26204767460092,1339.5722860476058,saxpy_kernel!
110100480,223.53431640887703,1341.205898453262,saxpy_kernel!
111149056,223.34157469437193,1340.0494481662315,saxpy_kernel!
112197632,224.52458466327002,1347.14750797962,saxpy_kernel!
113246208,224.09728542114806,1344.5837125268886,saxpy_kernel!
114294784,223.00896859966863,1338.0538115980116,saxpy_kernel!
115343360,224.1592163371296,1344.9552980227777,saxpy_kernel!
116391936,223.30846530937455,1339.8507918562475,saxpy_kernel!
117440512,224.00000633515285,1344.0000380109173,saxpy_kernel!
118489088,224.4655650810787,1346.7933904864722,saxpy_kernel!
119537664,224.7083648322032,1348.2501889932191,saxpy_kernel!
120586240,224.73283630672105,1348.3970178403265,saxpy_kernel!
121634816,224.75686687882944,1348.5412012729767,saxpy_kernel!
122683392,224.56982802488156,1347.4189681492894,saxpy_kernel!
123731968,224.80372090345335,1348.82232542072,saxpy_kernel!
124780544,224.4125235398602,1346.475141239161,saxpy_kernel!
125829120,224.64352794372172,1347.8611676623304,saxpy_kernel!
126877696,224.26062862825057,1345.5637717695033,saxpy_kernel!
127926272,224.6906576054711,1348.1439456328267,saxpy_kernel!
128974848,224.7136320717223,1348.281792430334,saxpy_kernel!
130023424,225.5346527983286,1353.207916789972,saxpy_kernel!
131072000,224.36459555535757,1346.1875733321451,saxpy_kernel!
132120576,224.97645356296525,1349.8587213777914,saxpy_kernel!
133169152,224.80208817325797,1348.8125290395478,saxpy_kernel!
134217728,225.403271484339,1352.419628906034,saxpy_kernel!
8388608,197.397599376785,1184.3855962607101,saxpy_broadcasting!
9437184,200.34782498354792,1202.0869499012874,saxpy_broadcasting!
10485760,202.77228184804696,1216.633691088282,saxpy_broadcasting!
11534336,202.95495764997713,1217.7297458998628,saxpy_broadcasting!
12582912,198.1935547021967,1189.1613282131802,saxpy_broadcasting!
13631488,204.79999424855313,1228.799965491319,saxpy_broadcasting!
14680064,200.50350482045948,1203.021028922757,saxpy_broadcasting!
15728640,199.480530587006,1196.883183522036,saxpy_broadcasting!
16777216,202.2716148175444,1213.6296889052664,saxpy_broadcasting!
17825792,204.8000087346228,1228.8000524077368,saxpy_broadcasting!
18874368,202.54944169812882,1215.296650188773,saxpy_broadcasting!
19922944,205.8835924589584,1235.3015547537502,saxpy_broadcasting!
20971520,204.8000121586032,1228.8000729516193,saxpy_broadcasting!
22020096,206.76922778783478,1240.6153667270087,saxpy_broadcasting!
23068672,205.7351594823764,1234.4109568942583,saxpy_broadcasting!
24117248,204.79998938169223,1228.7999362901535,saxpy_broadcasting!
25165824,204.80000730796436,1228.8000438477861,saxpy_broadcasting!
26214400,208.13007009165176,1248.7804205499106,saxpy_broadcasting!
27262976,208.00000588264191,1248.0000352958516,saxpy_broadcasting!
28311552,207.10113126115158,1242.6067875669096,saxpy_broadcasting!
29360128,205.5340462593346,1233.2042775560076,saxpy_broadcasting!
30408704,208.3929833979231,1250.3579003875388,saxpy_broadcasting!
31457280,208.9795997989056,1253.8775987934337,saxpy_broadcasting!
32505856,207.4771214693472,1244.8627288160833,saxpy_broadcasting!
33554432,208.05077878308663,1248.3046726985199,saxpy_broadcasting!
34603008,208.59260278059264,1251.5556166835559,saxpy_broadcasting!
35651584,207.23809562108158,1243.4285737264895,saxpy_broadcasting!
36700160,210.2052765301009,1261.2316591806052,saxpy_broadcasting!
37748736,207.6845085642542,1246.107051385525,saxpy_broadcasting!
38797312,209.32597829204153,1255.955869752249,saxpy_broadcasting!
39845888,208.085564046785,1248.51338428071,saxpy_broadcasting!
40894464,209.63780725225013,1257.8268435135008,saxpy_broadcasting!
41943040,208.97960484955,1253.8776290973,saxpy_broadcasting!
42991616,208.87561568385146,1253.2536941031087,saxpy_broadcasting!
44040192,207.2674757968916,1243.6048547813496,saxpy_broadcasting!
45088768,207.69810994501748,1246.188659670105,saxpy_broadcasting!
46137344,209.56280452418318,1257.376827145099,saxpy_broadcasting!
47185920,210.4109585615213,1262.465751369128,saxpy_broadcasting!
48234496,211.22869890032743,1267.3721934019648,saxpy_broadcasting!
49283072,207.8963318304375,1247.377990982625,saxpy_broadcasting!
50331648,210.05127104978442,1260.3076262987065,saxpy_broadcasting!
51380224,208.19916210554084,1249.194972633245,saxpy_broadcasting!
52428800,210.26693072377293,1261.6015843426376,saxpy_broadcasting!
53477376,211.4331960922063,1268.5991765532378,saxpy_broadcasting!
54525952,207.19065292804711,1243.1439175682829,saxpy_broadcasting!
55574528,209.54441007558316,1257.266460453499,saxpy_broadcasting!
56623104,208.66414207079433,1251.9848524247661,saxpy_broadcasting!
57671680,210.93633739561736,1265.6180243737042,saxpy_broadcasting!
58720256,210.05127287213358,1260.3076372328017,saxpy_broadcasting!
59768832,209.95684399199757,1259.7410639519856,saxpy_broadcasting!
60817408,210.98403003714614,1265.904180222877,saxpy_broadcasting!
61865984,207.2589943121361,1243.5539658728167,saxpy_broadcasting!
62914560,210.05129911396537,1260.3077946837923,saxpy_broadcasting!
63963136,210.3165085886967,1261.8990515321802,saxpy_broadcasting!
65011712,210.92358801474134,1265.541528088448,saxpy_broadcasting!
66060288,210.47960936560057,1262.8776561936033,saxpy_broadcasting!
67108864,210.05128380622935,1260.3077028373762,saxpy_broadcasting!
68157440,208.9795827044186,1253.8774962265118,saxpy_broadcasting!
69206016,208.59260278059264,1251.5556166835559,saxpy_broadcasting!
70254592,211.42680571529348,1268.5608342917608,saxpy_broadcasting!
71303168,209.41954385162362,1256.5172631097416,saxpy_broadcasting!
72351744,209.35110370618355,1256.1066222371012,saxpy_broadcasting!
73400320,209.28467918174667,1255.70807509048,saxpy_broadcasting!
74448896,210.12718045013762,1260.7630827008259,saxpy_broadcasting!
75497472,211.8620600875263,1271.1723605251575,saxpy_broadcasting!
76546048,211.4625097473491,1268.7750584840946,saxpy_broadcasting!
77594624,210.7816372677886,1264.6898236067316,saxpy_broadcasting!
78643200,210.41095583081858,1262.4657349849113,saxpy_broadcasting!
79691776,210.9051539375477,1265.4309236252861,saxpy_broadcasting!
80740352,210.54206162359725,1263.2523697415836,saxpy_broadcasting!
81788928,211.58146433765668,1269.48878602594,saxpy_broadcasting!
82837504,210.1194844625269,1260.7169067751615,saxpy_broadcasting!
83886080,211.13402634817925,1266.8041580890756,saxpy_broadcasting!
84934656,209.19042413694103,1255.142544821646,saxpy_broadcasting!
85983232,209.13574679937534,1254.814480796252,saxpy_broadcasting!
87031808,210.63692893487897,1263.8215736092739,saxpy_broadcasting!
88080384,207.51748000815513,1245.1048800489307,saxpy_broadcasting!
89128960,211.26214030321532,1267.5728418192919,saxpy_broadcasting!
90177536,209.42687932938696,1256.5612759763217,saxpy_broadcasting!
91226112,210.11320424670376,1260.6792254802226,saxpy_broadcasting!
92274688,211.03512714713395,1266.210762882804,saxpy_broadcasting!
93323264,210.71907415331026,1264.3144449198614,saxpy_broadcasting!
94371840,208.97959306471344,1253.8775583882805,saxpy_broadcasting!
95420416,209.8738766607718,1259.2432599646309,saxpy_broadcasting!
96468992,210.7561564631468,1264.5369387788808,saxpy_broadcasting!
97517568,210.4574502382147,1262.7447014292882,saxpy_broadcasting!
98566144,210.16594429907119,1260.9956657944272,saxpy_broadcasting!
99614720,210.56276933270362,1263.3766159962217,saxpy_broadcasting!
100663296,209.82711191022776,1258.9626714613667,saxpy_broadcasting!
101711872,210.44067322594978,1262.6440393556984,saxpy_broadcasting!
102760448,210.82353085039063,1264.9411851023438,saxpy_broadcasting!
103809024,210.32364335151573,1261.9418601090945,saxpy_broadcasting!
104857600,209.40695237418902,1256.441714245134,saxpy_broadcasting!
105906176,209.7849830827627,1258.709898496576,saxpy_broadcasting!
106954752,209.94571801885584,1259.674308113135,saxpy_broadcasting!
108003328,211.5787300116303,1269.472380069782,saxpy_broadcasting!
109051904,210.6745807009144,1264.0474842054864,saxpy_broadcasting!
110100480,210.2052823701726,1261.2316942210357,saxpy_broadcasting!
111149056,210.15295469178767,1260.917728150726,saxpy_broadcasting!
112197632,211.52124413289997,1269.1274647973999,saxpy_broadcasting!
113246208,209.4545506736542,1256.7273040419254,saxpy_broadcasting!
114294784,209.41088541182808,1256.4653124709682,saxpy_broadcasting!
115343360,210.14924748680176,1260.8954849208105,saxpy_broadcasting!
116391936,209.51889245261907,1257.1133547157144,saxpy_broadcasting!
117440512,209.6672927474736,1258.0037564848417,saxpy_broadcasting!
118489088,209.05510336017667,1254.3306201610599,saxpy_broadcasting!
119537664,210.71478130686356,1264.2886878411814,saxpy_broadcasting!
120586240,210.28571823188017,1261.7143093912812,saxpy_broadcasting!
121634816,210.98403003714614,1265.904180222877,saxpy_broadcasting!
122683392,209.6378020394198,1257.826812236519,saxpy_broadcasting!
123731968,210.3254979902833,1261.9529879416998,saxpy_broadcasting!
124780544,210.45942765136587,1262.7565659081952,saxpy_broadcasting!
125829120,210.95277674842183,1265.7166604905308,saxpy_broadcasting!
126877696,210.18489583598782,1261.1093750159268,saxpy_broadcasting!
127926272,211.02700956657398,1266.162057399444,saxpy_broadcasting!
128974848,210.62207867512285,1263.7324720507372,saxpy_broadcasting!
130023424,210.22517289959475,1261.3510373975687,saxpy_broadcasting!
131072000,209.3213364147995,1255.9280184887969,saxpy_broadcasting!
132120576,210.6514276370502,1263.9085658223012,saxpy_broadcasting!
133169152,209.08038049486785,1254.482282969207,saxpy_broadcasting!
134217728,210.89621162302856,1265.3772697381714,saxpy_broadcasting!
8388608,202.2716148175444,1213.6296889052664,saxpy_cublas!
9437184,211.8620600875263,1271.1723605251575,saxpy_cublas!
10485760,215.57893759334232,1293.473625560054,saxpy_cublas!
11534336,214.552384978614,1287.314309871684,saxpy_cublas!
12582912,210.05127104978442,1260.3076262987065,saxpy_cublas!
13631488,214.7096842607131,1288.2581055642786,saxpy_cublas!
14680064,213.9701428956527,1283.8208573739164,saxpy_cublas!
15728640,211.8620670087698,1271.1724020526187,saxpy_cublas!
16777216,215.57894968634625,1293.4736981180777,saxpy_cublas!
17825792,218.96854023423865,1313.811241405432,saxpy_cublas!
18874368,214.32558136981783,1285.9534882189068,saxpy_cublas!
19922944,217.38547844663938,1304.3128706798361,saxpy_cublas!
20971520,216.71957100942987,1300.3174260565795,saxpy_cublas!
22020096,218.3147145600571,1309.8882873603427,saxpy_cublas!
23068672,218.71845113744646,1312.3107068246788,saxpy_cublas!
24117248,216.07339774531653,1296.4403864718993,saxpy_cublas!
25165824,219.4285671938074,1316.5714031628445,saxpy_cublas!
26214400,218.8034073435254,1312.8204440611526,saxpy_cublas!
27262976,220.03305902697295,1320.1983541618379,saxpy_cublas!
28311552,219.42856564704775,1316.5713938822867,saxpy_cublas!
29360128,220.5538399599803,1323.323039759882,saxpy_cublas!
30408704,219.97038111407952,1319.8222866844771,saxpy_cublas!
31457280,221.80503295459323,1330.8301977275594,saxpy_cublas!
32505856,219.68167242943238,1318.0900345765945,saxpy_cublas!
33554432,221.40538708624155,1328.4323225174494,saxpy_cublas!
34603008,221.58689530379428,1329.5213718227656,saxpy_cublas!
35651584,222.4664630433813,1334.798778260288,saxpy_cublas!
36700160,220.55384478191655,1323.3230686914992,saxpy_cublas!
37748736,222.07229929888314,1332.4337957932987,saxpy_cublas!
38797312,220.9212942669874,1325.5277656019243,saxpy_cublas!
39845888,222.99140145096177,1337.9484087057706,saxpy_cublas!
40894464,221.86666582553065,1331.1999949531837,saxpy_cublas!
41943040,222.60869442616433,1335.6521665569862,saxpy_cublas!
42991616,222.72679511030833,1336.3607706618498,saxpy_cublas!
44040192,220.55384799654084,1323.323087979245,saxpy_cublas!
45088768,221.82367312363755,1330.9420387418252,saxpy_cublas!
46137344,221.9507399738275,1331.704439842965,saxpy_cublas!
47185920,223.14769473149315,1338.8861683889586,saxpy_cublas!
48234496,223.24170648420323,1339.4502389052195,saxpy_cublas!
49283072,222.81481103824262,1336.8888662294555,saxpy_cublas!
50331648,222.91156593569434,1337.469395614166,saxpy_cublas!
51380224,223.00445064140342,1338.0267038484205,saxpy_cublas!
52428800,223.09367899929808,1338.5620739957885,saxpy_cublas!
53477376,221.75796518022682,1330.5477910813609,saxpy_cublas!
54525952,222.79497720449615,1336.7698632269771,saxpy_cublas!
55574528,223.34157469437193,1340.0494481662315,saxpy_cublas!
56623104,223.41818417819738,1340.5091050691844,saxpy_cublas!
57671680,222.60869911508706,1335.6521946905225,saxpy_cublas!
58720256,223.56333897357217,1341.380033841433,saxpy_cublas!
59768832,223.20457195832262,1339.2274317499357,saxpy_cublas!
60817408,224.12074518714948,1344.7244711228968,saxpy_cublas!
61865984,222.93726553992326,1337.6235932395396,saxpy_cublas!
62914560,223.8251398190576,1342.9508389143455,saxpy_cublas!
63963136,223.8853003896323,1343.3118023377938,saxpy_cublas!
65011712,223.15641162544463,1338.938469752668,saxpy_cublas!
66060288,222.4551703592083,1334.7310221552495,saxpy_cublas!
67108864,223.29131625380887,1339.7478975228535,saxpy_cublas!
68157440,223.35570219434268,1340.1342131660563,saxpy_cublas!
69206016,224.1592078847406,1344.9552473084434,saxpy_cublas!
70254592,224.20914739429455,1345.2548843657673,saxpy_cublas!
71303168,223.8971003724569,1343.3826022347414,saxpy_cublas!
72351744,223.24170147242538,1339.4502088345523,saxpy_cublas!
73400320,224.35056534097941,1346.1033920458763,saxpy_cublas!
74448896,223.36098534412855,1340.1659120647714,saxpy_cublas!
75497472,224.43836065353892,1346.6301639212334,saxpy_cublas!
76546048,224.14392978622186,1344.8635787173312,saxpy_cublas!
77594624,224.1893447016245,1345.136068209747,saxpy_cublas!
78643200,224.56138959398993,1347.3683375639393,saxpy_cublas!
79691776,223.95396234554943,1343.7237740732965,saxpy_cublas!
80740352,223.6822724128746,1342.0936344772476,saxpy_cublas!
81788928,225.30888404737885,1351.853304284273,saxpy_cublas!
82837504,224.39944765684123,1346.3966859410473,saxpy_cublas!
83886080,224.43835288620645,1346.6301173172387,saxpy_cublas!
84934656,224.4763277562488,1346.8579665374925,saxpy_cublas!
85983232,224.81392193146522,1348.8835315887914,saxpy_cublas!
87031808,223.95782597332249,1343.746955839935,saxpy_cublas!
88080384,225.17277717996922,1351.0366630798153,saxpy_cublas!
89128960,225.4922217744407,1352.9533306466442,saxpy_cublas!
90177536,224.93996911368998,1349.6398146821398,saxpy_cublas!
91226112,225.2540951440823,1351.5245708644936,saxpy_cublas!
92274688,224.9987519050763,1349.9925114304576,saxpy_cublas!
93323264,224.74968988009778,1348.4981392805864,saxpy_cublas!
94371840,225.33007623597314,1351.9804574158386,saxpy_cublas!
95420416,225.08212629576025,1350.4927577745614,saxpy_cublas!
96468992,224.84009401987464,1349.040564119248,saxpy_cublas!
97517568,225.4011865787136,1352.4071194722815,saxpy_cublas!
98566144,225.68816990322847,1354.1290194193707,saxpy_cublas!
99614720,224.92485443330872,1349.5491265998523,saxpy_cublas!
100663296,225.46789329946074,1352.8073597967646,saxpy_cublas!
101711872,226.00226848817627,1356.0136109290574,saxpy_cublas!
102760448,226.01802101929272,1356.1081261157562,saxpy_cublas!
103809024,225.28000626019323,1351.6800375611595,saxpy_cublas!
104857600,225.0549492782664,1350.3296956695986,saxpy_cublas!
105906176,225.0794338169948,1350.4766029019688,saxpy_cublas!
106954752,224.86115250400624,1349.1669150240375,saxpy_cublas!
108003328,225.1270054870152,1350.762032922091,saxpy_cublas!
109051904,225.62711356184303,1353.7626813710583,saxpy_cublas!
110100480,225.17277047861305,1351.0366228716782,saxpy_cublas!
111149056,224.9616518408538,1349.7699110451229,saxpy_cublas!
112197632,225.44857068205468,1352.6914240923281,saxpy_cublas!
113246208,225.92850027133346,1355.571001628001,saxpy_cublas!
114294784,226.40161540614983,1358.409692436899,saxpy_cublas!
115343360,226.63985106371751,1359.839106382305,saxpy_cublas!
116391936,225.74775731580985,1354.4865438948593,saxpy_cublas!
117440512,225.9861921533666,1355.9171529201997,saxpy_cublas!
118489088,225.77952090384525,1354.6771254230714,saxpy_cublas!
119537664,225.79497557832366,1354.769853469942,saxpy_cublas!
120586240,225.81016353687366,1354.860981221242,saxpy_cublas!
121634816,226.03995622785462,1356.2397373671279,saxpy_cublas!
122683392,226.48013705274008,1358.8808223164403,saxpy_cublas!
123731968,226.27716193348044,1357.6629716008827,saxpy_cublas!
124780544,225.65927028082294,1353.9556216849378,saxpy_cublas!
125829120,225.67491466575115,1354.049487994507,saxpy_cublas!
126877696,225.48499174889258,1352.9099504933554,saxpy_cublas!
127926272,225.50178350383644,1353.0107010230186,saxpy_cublas!
128974848,224.91428993496748,1349.485739609805,saxpy_cublas!
130023424,225.3345126880628,1352.0070761283769,saxpy_cublas!
131072000,225.74954747680883,1354.4972848608527,saxpy_cublas!
132120576,225.56644292301695,1353.3986575381016,saxpy_cublas!
133169152,225.58194352458477,1353.4916611475087,saxpy_cublas!
134217728,225.59724815368406,1353.5834889221046,saxpy_cublas!
